REPLACE0,REPLACE1,REPLACE2,REPLACE3,Type,REPLACE4,REPLACE5,REPLACE6,REPLACE7,REPLACE8,REPLACE9,REPLACE10,REPLACE11,REPLACE12,REPLACE13,REPLACE14,REPLACE15,REPLACE16,REPLACE17,REPLACE18
LegandExp_160,ODP,Site_967,Hole_967E,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records158_Eiffellithus_eximius,None,"18-3,30","19-1,69",None,279.745,276.1,283.39,75.93,2.2779,75.93,None,Neptune
LegandExp_207,ODP,Site_1259,Hole_1259A,B,Eiffellithus_eximius_Base_Depth,Eiffellithus eximius Base Depth,Records159_Eiffellithus_eximius,None,"56R-CC,14-19",None,mbsf,524.755,520.22,529.29,91,None,None,None,odp\Initial Reports\207_IR\IR207_06\Table T3.xlsx
LegandExp_207,ODP,Site_1261,Hole_1261A,B,Eiffellithus_eximius_Base_Depth,Eiffellithus eximius Base Depth,Records160_Eiffellithus_eximius,None,"44R-6,65-70",None,mbsf,604.3,600.49,608.11,91,None,None,None,odp\Initial Reports\207_IR\IR207_08\Table T3.xlsx
LegandExp_198,ODP,Site_1207,Hole_1207A,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records161_Eiffellithus_eximius,None,None,21X-CC,mbsf,185.2,181.93,188.54,75.3,None,None,None,odp\Initial Reports\198_IR\IR198_03\table5.xlsx
LegandExp_198,ODP,Site_1207,Hole_1207B,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records162_Eiffellithus_eximius,None,None,2R-CC,mbsf,172.2,169.6,174.84,75.3,None,None,None,odp\Initial Reports\198_IR\IR198_03\table5.xlsx
LegandExp_198,ODP,Site_1207,Hole_1207B,B,Eiffellithus_eximius_Base_Depth,Eiffellithus eximius Base Depth,Records163_Eiffellithus_eximius,None,None,20R-CC,mbsf,330.6,325.77,335.51,91,None,None,None,odp\Initial Reports\198_IR\IR198_03\table5.xlsx
LegandExp_198,ODP,Site_1208,Hole_1208A,B,Eiffellithus_eximius_Base_Depth,Eiffellithus eximius Base Depth,Records164_Eiffellithus_eximius,None,None,42X-CC,mbsf,379.5,376.14,382.9,91,None,None,None,odp\Initial Reports\198_IR\IR198_04\table3.xlsx
LegandExp_198,ODP,Site_1212,Hole_1212B,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records165_Eiffellithus_eximius,None,23H-CC,None,mbsf,188.01,None,None,75,None,None,None,odp\Initial Reports\198_IR\IR198_08\table2.xlsx
LegandExp_3,DSDP,Site_21,Hole_21,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records166_Eiffellithus_eximius,None,"3_21,5-1,82","3_21,6-3,77",None,103.345,97.32,109.37,75.93,None,None,None,NeptuneSB
LegandExp_17,DSDP,Site_167,Hole_167,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records167_Eiffellithus_eximius,None,"17_167,50-CC","17_167,51-1,50",None,760.5,760.5,None,75.93,None,None,None,NeptuneSB
LegandExp_21,DSDP,Site_208,Hole_208,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records168_Eiffellithus_eximius,None,"21_208,33-1,85","21_208,33-1,89",None,576.87,576.85,576.89,75.93,None,None,None,NeptuneSB
LegandExp_39,DSDP,Site_355,Hole_355,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records169_Eiffellithus_eximius,None,"39_355,20-2,70","39_355,20-CC",None,435.1,435.2,435,75.93,None,None,None,NeptuneSB
LegandExp_39,DSDP,Site_356,Hole_356,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records170_Eiffellithus_eximius,None,"39_356,34-6,70","39_356,34-CC",None,522.025,521.55,522.5,75.93,None,None,None,NeptuneSB
LegandExp_39,DSDP,Site_356,Hole_356,B,Eiffellithus_eximius_Base_Depth,Eiffellithus eximius Base Depth,Records171_Eiffellithus_eximius,None,"39_356,40-3,135","39_356,40-4,106",None,698.905,698.3,699.51,92.99,None,None,None,NeptuneSB
