index,REPLACE1,REPLACE2,REPLACE3,REPLACE4,REPLACE5,REPLACE6
69,Campanian,UC15aAP,FO of Misceomarginatus pleniporus to the LO of Biscutum dissimilis.,Misceomarginatus_pleniporus_Base_Time,Biscutum_dissimilis_Top_Time,Burnett_. herein.
70,Campanian,UC15bAP,LO of Biscutum dissimilis to the LO of Eiffellithus eximius.,Biscutum_dissimilis_Top_Time,Eiffellithus_eximius_Top_Time,Burnett_. herein.
71,Campanian,UC16,LO of Eiffellithus eximius to the LO of Broinsonia parca constricta.,Eiffellithus_eximius_Top_Time,Broinsonia_parca_constricta_Top_Time,Approximately equivalent to subzone CC23a of Sissingh(1977).
72,Campanian,UC16aBP,LO of Eiffellithus eximius to the LO of Heteromarginatus bugensis.,Eiffellithus_eximius_Top_Time,Heteromarginatus_bugensis_Top_Time,Burnett_. herein.
73,Campanian,UC16bBP,LO of Heteromarginatus bugensis to the LO of Tortolithus caistorensis.,Heteromarginatus_bugensis_Top_Time,Tortolithus_caistorensis_Top_Time,Burnett_. herein.
74,Campanian,UC16cBP,LO of Tortolithus caistorensis to the LO of Monomarginatus quaternarius.,Tortolithus_caistorensis_Top_Time,Monomarginatus_quaternarius_Top_Time,Burnett_. herein.
75,Campanian,UC16dBP,LO of Monomarginatus quaternarius to the LO of Broinsonia parca constricta.,Monomarginatus_quaternarius_Top_Time,Broinsonia_parca_constricta_Top_Time,Burnett_. herein.
76,Campanian,UC17,LO of Broinsonia parca constricta to the LO of Tranolithus orionatus (= Tranolithus phacelosus of some authors).,Broinsonia_parca_constricta_Top_Time,Tranolithus_orionatus_Base_Time,Equivalent to CC23b of Sissingh (1977).
77,Maastrichtian,UC18,LO of Tranolithus orionatus (= Tranolithus phacelosus of some authors) to the LO of Reinhardtites levis.,Tranolithus_orionatus_Base_Time,Reinhardtites_levis_Top_Time,Equivalent to zone CC24 of Sissingh (1977).
78,Maastrichtian,UC18aAP,LO of Tranolithus orionatus to the LO of Biscutum coronum.,Tranolithus_orionatus_Base_Time,Biscutum_coronum_Top_Time,Burnett_. herein.
79,Maastrichtian,UC18bAP,LO of Biscutum coronum to the LO of Reinhardtites levis.,Biscutum_coronum_Top_Time,Reinhardtites_levis_Top_Time,Burnett_. herein.
80,Maastrichtian,UC19,LO of Reinhardtites levis to the FO of Lithraphidites quadratus.,Reinhardtites_levis_Top_Time,Lithraphidites_quadratus_Base_Time,Equivalent to subzone CC25a of Perch Nielsen (1985a).
81,Maastrichtian,UC20,FO of Lithraphidites quadratus to the LO of unreworked_. non-survivor Cretaceous taxa.,Lithraphidites_quadratus_Base_Time,Null,Burnett_. herein.
82,Maastrichtian,UC20aBP,FO of Lithraphidites quadratus to the FO of Nephrolithus frequens.,Lithraphidites_quadratus_Base_Time,Nephrolithus_frequens_Base_Time,Equivalent to the Lithraphidites quadratus Zone of Doeven (1983).
83,Maastrichtian,UC20bBP,FO of Nephrolithus frequens to the FO of Arkhangelskiella maastrichtiana.,Nephrolithus_frequens_Base_Time,Arkhangelskiella_maastrichtiana_Base_Time,Burnett_. herein.
84,Maastrichtian,UC20cBP,FO of Arkhangelskiella maastrichtiana to the FO of Cribrosphaerella daniae.,Arkhangelskiella_maastrichtiana_Base_Time,Cribrosphaerella_daniae_Base_Time,Burnett_. herein.
85,Maastrichtian,UC20dBP,FO of Cribrosphaerella daniae to the LO of unreworked_. non-survivor Cretaceous taxa.,Cribrosphaerella_daniae_Base_Time,Null,Burnett_. herein.
86,Maastrichtian,UC20aTP,FO of Lithraphidites quadratus to the FO of Micula murus.,Lithraphidites_quadratus_Base_Time,Micula_murus_Base_Time,Equivalent to subzone CC25b of Perch-Nielsen (1985a).
87,Maastrichtian,UC20bTP,FO of Micula murus to the FO of Ceratolithoides kamptneri.,Micula_murus_Base_Time,Ceratolithoides_kamptneri_Base_Time,Approximately equivalent to subzone CC25c of Perch-Nielsen (1985a).
88,Maastrichtian,UC20cTP,FO of Ceratolithoides kamptneri to the FO of Micula prinsii.,Ceratolithoides_kamptneri_Base_Time,Micula_prinsii_Base_Time,Approximately equivalent to subzone CC26a of Perch-Nielsen (1985a).
89,Maastrichtian,UC20dTP,FO of Micula prinsii to the LO of unreworked_. non-survivor Cretaceous taxa.,Micula_prinsii_Base_Time,Null,Approximately equivalent to subzone CC26b of Perch-Nielsen (1985a).
