index,REPLACE1,REPLACE2,REPLACE3,REPLACE4,REPLACE5,REPLACE6,REPLACE7,REPLACE8,REPLACE9,REPLACE10,REPLACE11,REPLACE12,REPLACE13,REPLACE14,REPLACE15,REPLACE16,REPLACE17,REPLACE18,REPLACE19
12,Lithraphidites_acutus,Lithraphidites acutus,"Verbeek & Manivit in Manivit et al., 1977",Lithraphidites,Lithraphidites_acutus_Geologic_Range,Lithraphidites acutus Geologic Range,Lithraphidites_acutus_Base_Time,Lithraphidites acutus Base Time,Lithraphidites_acutus_Top_Time,Lithraphidites acutus Top Time,Lithraphidites_acutus_Base_NumericTime,Lithraphidites acutus Base NumericTime,Lithraphidites_acutus_Top_NumericTime,Lithraphidites acutus Top NumericTime,96.16,96.24,94.21,94.39,L.  acutum
13,Gartnerago_theta,Gartnerago theta,"(Hill, 1976) Perch Nielsen, 1984",Gartnerago,Gartnerago_theta_Geologic_Range,Gartnerago theta Geologic Range,Gartnerago_theta_Base_Time,Gartnerago theta Base Time,Gartnerago_theta_Top_Time,Gartnerago theta Top Time,Gartnerago_theta_Base_NumericTime,Gartnerago theta Base NumericTime,Gartnerago_theta_Top_NumericTime,Gartnerago theta Top NumericTime,Null,Null,95.93,95.93,B.  stenostaurion
14,Staurolithites_gausorhethium,Staurolithites gausorhethium,"(Hill, 1976) Varol & Girgis, 1994",Staurolithites,Staurolithites_gausorhethium_Geologic_Range,Staurolithites gausorhethium Geologic Range,Staurolithites_gausorhethium_Base_Time,Staurolithites gausorhethium Base Time,Staurolithites_gausorhethium_Top_Time,Staurolithites gausorhethium Top Time,Staurolithites_gausorhethium_Base_NumericTime,Staurolithites gausorhethium Base NumericTime,Staurolithites_gausorhethium_Top_NumericTime,Staurolithites gausorhethium Top NumericTime,Null,Null,95.02,95.02,V.  gausorhethium
15,Gartnerago_nanum,Gartnerago nanum,"Thierstein, 1974",Gartnerago,Gartnerago_nanum_Geologic_Range,Gartnerago nanum Geologic Range,Gartnerago_nanum_Base_Time,Gartnerago nanum Base Time,Gartnerago_nanum_Top_Time,Gartnerago nanum Top Time,Gartnerago_nanum_Base_NumericTime,Gartnerago nanum Base NumericTime,Gartnerago_nanum_Top_NumericTime,Gartnerago nanum Top NumericTime,Null,Null,94.79,94.79,G.  nanum
16,Cylindralithus_biarcus,Cylindralithus biarcus,"Bukry, 1969",Cylindralithus,Cylindralithus_biarcus_Geologic_Range,Cylindralithus biarcus Geologic Range,Cylindralithus_biarcus_Base_Time,Cylindralithus biarcus Base Time,Cylindralithus_biarcus_Top_Time,Cylindralithus biarcus Top Time,Cylindralithus_biarcus_Base_NumericTime,Cylindralithus biarcus Base NumericTime,Cylindralithus_biarcus_Top_NumericTime,Cylindralithus biarcus Top NumericTime,Null,94.54,94.54,80.3,C.  biarcus
17,Cretarhabdus_striatus,Cretarhabdus striatus,"(Stradner, 1963) Black, 1973",Cretarhabdus,Cretarhabdus_striatus_Geologic_Range,Cretarhabdus striatus Geologic Range,Cretarhabdus_striatus_Base_Time,Cretarhabdus striatus Base Time,Cretarhabdus_striatus_Top_Time,Cretarhabdus striatus Top Time,Cretarhabdus_striatus_Base_NumericTime,Cretarhabdus striatus Base NumericTime,Cretarhabdus_striatus_Top_NumericTime,Cretarhabdus striatus Top NumericTime,Null,Null,Null,Null,A.  striata
18,Axopodorhabdus_albianus,Axopodorhabdus albianus,"(Black, 1967) Wind & Wise  1983",Axopodorhabdus,Axopodorhabdus_albianus_Geologic_Range,Axopodorhabdus albianus Geologic Range,Axopodorhabdus_albianus_Base_Time,Axopodorhabdus albianus Base Time,Axopodorhabdus_albianus_Top_Time,Axopodorhabdus albianus Top Time,Axopodorhabdus_albianus_Base_NumericTime,Axopodorhabdus albianus Base NumericTime,Axopodorhabdus_albianus_Top_NumericTime,Axopodorhabdus albianus Top NumericTime,109.94,108.17,93.98,93.93,P.  albianus
19,Quadrum_intermedium,Quadrum intermedium,"Varol, 1992",Quadrum,Quadrum_intermedium_Geologic_Range,Quadrum intermedium Geologic Range,Quadrum_intermedium_Base_Time,Quadrum intermedium Base Time,Quadrum_intermedium_Top_Time,Quadrum intermedium Top Time,Quadrum_intermedium_Base_NumericTime,Quadrum intermedium Base NumericTime,Quadrum_intermedium_Top_NumericTime,Quadrum intermedium Top NumericTime,94.07,94.07,Null,Null,Q.  intermedium
20,Helenea_chiastia,Helenea chiastia,"Worsley, 1971",Helenea,Helenea_chiastia_Geologic_Range,Helenea chiastia Geologic Range,Helenea_chiastia_Base_Time,Helenea chiastia Base Time,Helenea_chiastia_Top_Time,Helenea chiastia Top Time,Helenea_chiastia_Base_NumericTime,Helenea chiastia Base NumericTime,Helenea_chiastia_Top_NumericTime,Helenea chiastia Top NumericTime,145.72,Null,93.9,93.9,H.  chiastia
21,Eprolithus_moratus,Eprolithus moratus,"(Stover, 1966) Burnett 1998",Eprolithus,Eprolithus_moratus_Geologic_Range,Eprolithus moratus Geologic Range,Eprolithus_moratus_Base_Time,Eprolithus moratus Base Time,Eprolithus_moratus_Top_Time,Eprolithus moratus Top Time,Eprolithus_moratus_Base_NumericTime,Eprolithus moratus Base NumericTime,Eprolithus_moratus_Top_NumericTime,Eprolithus moratus Top NumericTime,93.73,93.73,Null,Null,L.  moratus
22,Quadrum_gartneri,Quadrum gartneri,"Prins & Perch Nielsen in Manivit et al., 1977",Quadrum,Quadrum_gartneri_Geologic_Range,Quadrum gartneri Geologic Range,Quadrum_gartneri_Base_Time,Quadrum gartneri Base Time,Quadrum_gartneri_Top_Time,Quadrum gartneri Top Time,Quadrum_gartneri_Base_NumericTime,Quadrum gartneri Base NumericTime,Quadrum_gartneri_Top_NumericTime,Quadrum gartneri Top NumericTime,93.75,93.55,85.9,85.9,Q.  gartneri
23,Eiffellithus_eximius,Eiffellithus eximius,"(Stover, 1966) Perch Nielsen, 1968",Eiffellithus,Eiffellithus_eximius_Geologic_Range,Eiffellithus eximius Geologic Range,Eiffellithus_eximius_Base_Time,Eiffellithus eximius Base Time,Eiffellithus_eximius_Top_Time,Eiffellithus eximius Top Time,Eiffellithus_eximius_Base_NumericTime,Eiffellithus eximius Base NumericTime,Eiffellithus_eximius_Top_NumericTime,Eiffellithus eximius Top NumericTime,90.36,92.99,75.85,75.85,C.  eximius
